报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
工程物资(万元),79,79,79,79,104,580,1224,1372,--,0,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
无形资产(万元),178196,165355,163462,167160,169286,165882,151064,79042,71521,13646,13586,11532,9288,
开发支出(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
商誉(万元),27600,27600,27600,27600,27600,27600,27600,27600,27600,0,0,0,0,
长期待摊费用(万元),91,109,216,516,592,671,633,178,71,0,0,0,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
递延所得税资产(万元),71400,64966,56807,59220,56757,67302,66121,52075,14749,1932,1520,1008,289,
其他非流动资产(万元),20501,20423,100403,15861,51361,--,--,--,--,0,0,0,0,
非流动资产合计(万元),1368897,1473156,1347949,1240443,1256641,1100044,813703,469159,241126,71290,50768,35002,29974,
资产总计(万元),4956377,4325814,3880406,3386032,2875772,2821844,2365769,1888317,1148007,649072,218273,146918,103692,
短期借款(万元),--,--,--,--,--,95100,--,--,--,0,700,1400,9213,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应付票据(万元),--,820,96000,224000,175000,151680,37050,12335,20345,14520,5700,11630,10465,
应付账款(万元),126128,111140,78421,79871,82669,116491,75021,62946,43348,16846,10432,8915,7832,
预收账款(万元),446841,419985,384749,126079,89965,89316,86153,351259,102628,16763,3425,4025,1496,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应付职工薪酬(万元),18575,20966,16545,11794,7518,7540,18024,8815,9433,6493,2110,2707,3812,
应交税费(万元),325546,228956,180784,143092,111836,142700,199236,143532,82969,28426,21244,18151,12670,
应付利息(万元),--,--,--,--,--,223,--,--,--,0,0,0,0,
应付股利(万元),--,--,470,470,470,470,470,1045,5662,0,0,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
其他应付款(万元),645730,562004,486763,472459,404678,452216,452346,288082,111810,43064,21100,12734,5127,
预提费用(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
流动负债合计(万元),1562820,1343871,1243733,1057765,872136,1055736,868300,868014,376195,126112,64711,59563,50614,
长期借款(万元),11,15,18,22,25,33,36,40,40,40,40,40,0,
应付债券(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
长期应付款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
专项应付款(万元),19840,19911,19998,20066,20118,20204,20305,21995,24272,14956,15102,15235,15203,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
长期递延收益(万元),9851,10735,11109,11943,7193,--,--,--,--,0,--,--,--,
递延所得税负债(万元),1402,1796,1850,2089,3390,4701,6019,7340,8708,0,0,0,0,
其他非流动负债(万元),--,--,--,--,--,1496,55,65,74,84,133,0,0,
非流动负债合计(万元),31105,32456,32975,34119,30726,26434,26416,29440,33094,15080,15276,15275,15203,
负债合计(万元),1593925,1376327,1276708,1091884,902862,1082170,894715,897454,409290,141192,79986,74838,65817,
实收资本(或股本)(万元),150699,150699,150699,150699,107642,108000,108000,90000,45000,45000,40500,13500,9000,
资本公积(万元),74170,74170,74170,74175,117231,132653,132653,150653,255641,255641,108,2133,6633,
减:库存股(万元),--,--,--,--,--,14645,--,--,--,0,0,0,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
盈余公积(万元),75349,75349,75349,75349,54000,54000,54000,40439,22500,18968,9442,5770,1292,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
未分配利润(万元),3078431,2651194,2304944,1993485,1693600,1458899,1174833,707964,368807,187872,88237,50678,20945,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
外币报表折算差额(万元),--,--,--,--,--,-0,--,--,--,0,0,--,--,
归属于母公司股东权益合计(万元),3364453,2951504,2605277,2293710,1972473,1738907,1469486,989055,691948,507481,138286,72080,37871,
少数股东权益(万元),-2001,-2017,-1579,438,437,767,1568,1808,46769,399,0,0,5,
所有者权益(或股东权益)合计(万元),3362452,2949487,2603699,2294148,1972910,1739674,1471054,990863,738717,507880,138286,72080,37876,
负债和所有者权益(或股东权益)总计(万元),4956377,4325814,3880406,3386032,2875772,2821844,2365769,1888317,1148007,649072,218273,146918,103692,		
