报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
处置固定资产、无形资产和其他长期资产的损失(万元),-2457,860,582,-98,381,132,20,173,245,424,14,341,35,
固定资产报废损失(万元),236,--,--,--,--,503,488,234,--,--,--,--,--,
公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
财务费用(万元),66,1171,-334,4632,8267,1831,1,1,128,68,99,438,805,
投资损失(万元),-91829,-62395,-54721,-57794,-5302,-5140,-13468,-1200,--,-75,-18,-388,122,
递延所得税资产减少(万元),-6434,-8158,2871,-2462,10544,-1183,-14055,-37326,-11024,-412,-512,-719,381,
递延所得税负债增加(万元),-394,-54,-1440,-1301,-1312,-1317,-1322,-1367,-1429,--,--,--,--,
存货的减少(万元),-102765,-63412,-88371,-102450,-132101,-285939,-213026,-192337,-71797,-31907,-14489,-13549,-5476,
经营性应收项目的减少(万元),4916,-2090,-22908,-2845,5256,-9541,146424,-136327,20340,-13584,-242,5200,-1894,
经营性应付项目的增加(万元),216948,89140,246472,146226,-122906,81494,5110,493832,206717,59667,5117,16784,683,
已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他(万元),--,--,--,--,-20,-121,--,--,--,--,0,30,0,
经营活动产生现金流量净额(万元),905675,688317,740504,583636,271180,318001,549970,555708,383975,142835,66490,47716,13643,
债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
现金的期末余额(万元),361535,174995,245663,470780,434695,785485,765877,709780,688398,467642,103211,61028,33004,
现金的期初余额(万元),174995,245663,470780,434695,785485,765877,709780,688398,467642,103211,61028,33004,24695,
现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,
现金及现金等价物的净增加额(万元),186540,-70667,-225117,36084,-350789,19608,56096,21382,220756,364431,42183,28024,8310,

