报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
其他应付款(万元),3032,4320,5034,5111,1771,2280,2012,1913,1569,1578,2314,1627,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),43979,41182,36298,24362,16529,14004,14949,13985,13187,16190,15604,10592,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),2776,368,336,295,313,330,--,--,--,--,--,--,
递延所得税负债(万元),--,--,93,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,347,--,--,--,--,--,
非流动负债合计(万元),2776,368,429,295,313,330,347,0,0,0,0,0,
负债合计(万元),46756,41550,36727,24658,16842,14334,15296,13985,13187,16190,15604,10592,
实收资本(或股本)(万元),64605,64605,64608,64587,40000,20000,20000,20000,15000,15000,5300,5300,
资本公积(万元),10492,10468,9678,6677,27237,47237,47237,47237,7606,7606,4500,4500,
减:库存股(万元),5,78,1841,3535,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),19304,14220,11087,8004,5791,4228,2639,1847,1221,514,1990,1136,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),62241,51364,46786,39372,31319,27319,22134,17158,8979,3404,17683,10125,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),151925,136508,130841,115105,104347,98783,92010,86242,32806,26523,29473,21061,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),151925,136508,130841,115105,104347,98783,92010,86242,32806,26523,29473,21061,
负债和所有者权益(或股东权益)总计(万元),198680,178058,167568,139763,121189,113117,107306,100227,45993,42713,45076,31653,		
