报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
流动资产合计(万元),2690800,2857600,2567600,2359500,2662400,2929900,2698900,2836400,3094400,2429700,1997300,3011500,1126100,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
可供出售金融资产(万元),--,71900,83900,84900,86900,5600,10100,9200,17900,16100,4500,27100,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
长期股权投资(万元),280300,294900,296800,267300,313500,312800,274000,248300,198600,162900,226200,88500,65400,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
固定资产原值(万元),11706500,10667000,10455200,10338300,9469400,9075200,9374700,9066100,8774700,7735700,6049000,4516200,4084400,
累计折旧(万元),6380000,5863300,5545500,5233600,4853700,4526400,4241300,3701000,3036000,2342400,1708200,1237200,832600,
固定资产净值(万元),5326500,4803700,4909700,5104700,4615700,4548800,5133400,5365100,5738700,5393300,4340800,3279000,3251800,
固定资产减值准备(万元),320100,3100,3200,3300,3500,3600,7700,8500,12000,12800,15600,13400,11800,
固定资产(万元),5006400,4800600,4906500,5101400,4612200,4545200,5125700,5356600,5726700,5380500,4325200,3265600,3240000,
在建工程(万元),144700,104000,223200,285200,593300,575600,973600,913600,527700,1058800,1254700,1711500,825700,
工程物资(万元),1100,200,900,600,3800,2600,24300,13200,104700,233400,624200,--,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
无形资产(万元),631500,619900,575500,608600,623400,614700,667700,682400,696700,706100,676100,557700,568100,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
递延所得税资产(万元),78100,171300,152500,152100,233600,300100,349400,239100,144700,111200,109700,16700,13200,
其他非流动资产(万元),114100,--,--,--,--,--,--,--,--,--,--,--,0,
非流动资产合计(万元),6311600,6062800,6239300,6500100,6466700,6356600,7424800,7462400,7417000,7669000,7220600,5667100,4712400,
资产总计(万元),9002400,8920400,8806900,8859600,9129100,9286500,10123700,10298800,10511400,10098700,9217900,8678600,5838500,
短期借款(万元),1318000,1450000,1899500,1631900,1467200,924100,1513000,1063000,1039500,1371000,757000,451200,458000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
交易性金融负债(万元),--,1300,--,--,--,--,--,--,--,--,--,--,0,
衍生金融负债(万元),300,--,--,--,--,--,--,--,--,--,--,--,0,
应付票据(万元),140000,24000,176600,399100,35600,4700,326000,556500,487900,350900,458500,105200,133800,
应付账款(万元),766300,843600,1005500,579900,828900,1534300,582100,468700,468300,331800,342700,190800,140100,
预收账款(万元),--,558100,406500,283400,333200,403100,438600,439600,615700,594200,362900,456900,323000,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
应付职工薪酬(万元),18300,34700,12400,16700,22800,28100,31200,31800,32200,32600,32900,31000,31800,
应交税费(万元),58900,40700,-13100,2000,7600,-55000,-124000,-191400,-183600,-229600,-277100,-25100,-300,
应付利息(万元),900,9300,7600,18100,20300,19600,9600,23200,7900,--,--,--,0,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
其他应付款(万元),227700,154400,167800,210600,189400,194400,268400,270300,273700,328300,352300,273700,114800,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
一年内到期的非流动负债(万元),264800,43700,16100,458700,170100,127100,750100,420100,596100,765300,103100,513800,503700,
其他流动负债(万元),--,150000,--,700000,600000,600100,600500,600500,302300,4200,--,--,0,
流动负债合计(万元),3274700,3309800,3678900,4300400,3675100,3780500,4395500,3682300,3640000,3548700,2132300,1997500,1704900,
长期借款(万元),229500,290500,129600,96200,137100,304400,836400,1313500,1271700,1150200,1756500,1229700,881100,
应付债券(万元),157400,200400,394400,--,398300,397100,--,--,--,--,--,--,0,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,1100,232400,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
长期递延收益(万元),63000,68200,73900,91400,96900,--,--,--,--,--,--,--,0,
递延所得税负债(万元),7700,600,1300,3400,2000,2000,2800,3900,6100,6100,4700,10200,7800,
其他非流动负债(万元),13900,--,--,--,--,93500,66100,68600,59100,13900,14100,--,0,
非流动负债合计(万元),481200,572000,599200,191100,634400,797000,905300,1386000,1336900,1170200,1775300,1255600,1121300,
负债合计(万元),3755900,3881800,4278100,4491500,4309500,4577500,5300800,5068300,4976900,4718900,3907600,3253100,2826200,
实收资本(或股本)(万元),723500,723500,723500,723500,723500,723500,723500,723500,723500,723500,723500,723500,593300,
资本公积(万元),3565500,3151900,3151900,3151900,3115400,3113600,3146500,3145800,3152100,3151000,3142300,3159300,1284700,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
专项储备(万元),4900,3800,5200,5400,3000,2100,4400,4700,7000,5000,--,--,0,
盈余公积(万元),362800,358000,358000,358000,358000,358000,357000,357000,357000,335700,330100,298100,222800,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
未分配利润(万元),563600,760400,248400,86800,578700,505400,428400,844100,1167200,1028000,1114400,1244600,911500,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
归属于母公司股东权益合计(万元),5196200,4997300,4488200,4327400,4779300,4702600,4659800,5075100,5406800,5243200,5310300,5425500,3012300,
少数股东权益(万元),50300,41300,40600,40700,40300,6400,163100,155400,127700,136600,--,--,0,
所有者权益(或股东权益)合计(万元),5246500,5038600,4528800,4368100,4819600,4709000,4822900,5230500,5534500,5379800,5310300,5425500,3012300,
负债和所有者权益(或股东权益)总计(万元),9002400,8920400,8806900,8859600,9129100,9286500,10123700,10298800,10511400,10098700,9217900,8678600,5838500,		
