报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
筹资活动现金流出小计(万元),2650700,2545900,3235800,3065000,2245100,3789400,5263200,2531100,2813200,2020800,1736300,2277100,1187200,
筹资活动产生的现金流量净额(万元),-494300,-445400,-541300,-51600,287400,-997000,100700,-42700,-286700,-6800,-114300,1632900,204800,
汇率变动对现金及现金等价物的影响(万元),1500,--,-1900,-400,--,--,--,--,--,--,--,-2300,0,
现金及现金等价物净增加额(万元),-51600,46900,-163300,188900,58600,-199700,-29200,-131000,140900,-73200,-475900,625300,96500,
加:期初现金及现金等价物余额(万元),267000,196800,360100,171200,112600,312300,234100,365100,224200,297400,773300,148000,51500,
期末现金及现金等价物余额(万元),215400,243700,196800,360100,171200,112600,204900,234100,365100,224200,297400,773300,148000,
净利润(万元),795200,561200,161500,-460000,92400,75500,-438000,-233200,195000,68600,298900,752500,700300,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
资产减值准备(万元),-7400,32800,1900,6000,-2700,20300,-34300,6000,51500,-199000,210600,14700,16100,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),351600,333100,329500,376700,382900,408700,552600,688700,701000,626200,477400,413300,378200,
无形资产摊销(万元),17300,16100,15600,15800,15500,16400,16600,16800,16600,15500,14500,12400,12500,
长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
处置固定资产、无形资产和其他长期资产的损失(万元),-600,--,-100,--,-300,--,-2000,-700,-400,--,100,8100,28200,
固定资产报废损失(万元),10000,4400,1600,1700,8400,4700,900,3200,1800,300,4500,--,0,
公允价值变动损失(万元),-6000,600,--,-400,--,--,--,--,--,--,--,--,0,
递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
财务费用(万元),138000,116700,128100,134500,126400,120500,181700,142200,121900,89800,69000,75200,68300,
投资损失(万元),-31500,-43200,-42700,-39100,-67300,-55500,-41200,-40200,-41100,-18600,-9600,-8100,-5200,
递延所得税资产减少(万元),123000,-18800,-400,81500,65900,-3000,-110300,-94400,-33500,16200,-92300,-3500,-4600,
递延所得税负债增加(万元),1600,-400,-1800,1200,-400,-300,-1300,--,-500,-600,-700,-2400,5600,
存货的减少(万元),-58300,-137800,-271600,196500,123900,-273100,385900,-114400,-293800,144400,-390400,-160900,-120500,
经营性应收项目的减少(万元),-170900,-113800,-160500,139100,258200,-133000,-317700,162800,-278800,-171000,382800,-550100,-78800,
经营性应付项目的增加(万元),-334300,-124200,273100,61800,-787700,878800,-49400,-67300,462800,-122200,228700,238100,102300,
已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
其他(万元),700,100,700,-1600,-1500,-3700,1800,-3200,100,5300,300,--,0,
经营活动产生现金流量净额(万元),829400,626800,434900,513700,213700,1056300,145300,466300,902600,454900,1193800,790600,1101800,
债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
现金的期末余额(万元),215400,243700,196800,360100,171200,112600,204900,234100,365100,224200,297400,773300,148000,
现金的期初余额(万元),267000,196800,360100,171200,112600,312300,234100,365100,224200,297400,773300,148000,51500,
现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,
现金及现金等价物的净增加额(万元),-51600,46900,-163300,188900,58600,-199700,-29200,-131000,140900,-73200,-475900,625300,96500,

