报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
固定资产原值(万元),2382657,2358117,2107471,1918922,1080239,895765,366701,264191,234785,188435,116093,115157,23933,8211,0,--,
累计折旧(万元),441956,377911,299504,209566,126295,79273,44999,31452,27391,17235,8002,5264,2289,1471,0,--,
固定资产净值(万元),1940701,1980206,1807968,1709356,953944,816492,321702,232739,207393,171201,108091,109893,21644,6740,0,--,
固定资产减值准备(万元),1002,1002,--,--,--,--,--,--,948,948,0,0,0,0,0,--,
固定资产(万元),1939699,1979204,1807968,1709356,953944,816492,321702,232739,206445,170252,108091,109893,21644,6740,4814,3294,
在建工程(万元),961339,571669,475880,238513,747567,231686,713227,303903,251543,208024,135975,15937,18780,8023,117,557,
工程物资(万元),--,--,--,--,0,0,--,0,--,--,0,--,--,0,0,--,
固定资产清理(万元),--,--,--,--,0,0,--,0,--,--,0,--,--,0,0,--,
生产性生物资产(万元),--,0,--,--,0,0,--,0,--,--,0,--,--,0,0,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
油气资产(万元),--,0,--,--,0,0,--,0,--,--,0,--,--,0,0,--,
无形资产(万元),338500,330687,246929,100259,70558,41634,41575,27766,42404,50770,47218,14909,7798,1213,899,1042,
开发支出(万元),64514,46270,8736,6554,3097,2661,7734,25948,18067,10595,3501,367,251,0,0,--,
商誉(万元),47016,48775,49760,47443,31626,24279,31167,31085,32622,25682,24988,34908,2,0,0,--,
长期待摊费用(万元),7981,7877,5884,5738,5960,5572,965,940,279,265,194,32,0,43,0,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
递延所得税资产(万元),186427,163499,160139,151739,133844,85083,71417,51637,46537,39917,19050,10190,1171,352,129,66,
其他非流动资产(万元),407638,366890,134463,168249,203288,119329,34122,0,--,--,0,--,--,0,0,--,
非流动资产合计(万元),5461292,4844655,3970651,3134054,2728576,1768244,1507684,882315,706341,556154,359723,200453,55389,16641,6739,5149,
资产总计(万元),10305708,8136405,7278784,6443716,5257240,4577733,3436965,3194352,3194764,2806158,1488295,1106521,546757,120379,62641,28424,
短期借款(万元),197407,203750,205493,180365,131947,254761,36132,28494,531913,106938,29699,5000,47000,14000,10000,9000,
向中央银行借款(万元),--,0,--,--,0,0,--,0,--,--,0,--,--,0,0,--,
吸收存款及同业存放(万元),--,--,--,--,0,0,--,0,--,--,0,--,--,0,0,--,
拆入资金(万元),--,0,--,--,0,0,--,0,--,--,0,--,--,0,0,--,
交易性金融负债(万元),--,0,--,--,0,0,--,0,54,755,1075,228,0,0,0,--,
衍生金融负债(万元),1575,0,--,--,0,0,--,--,--,--,0,--,--,0,0,--,
应付票据(万元),976357,622149,466572,487912,482682,511089,448877,384846,228624,348257,176256,121214,49213,5000,3900,0,
应付账款(万元),1566440,1377827,1059116,959360,944780,572808,457808,465654,529464,464760,199764,143972,46634,19871,5948,2429,
预收账款(万元),504,896,465816,322505,188939,269985,81055,71459,106265,103951,181429,238637,67940,2557,1819,12,
卖出回购金融资产款(万元),--,0,--,--,0,0,--,0,--,--,0,--,--,0,0,--,
应付手续费及佣金(万元),--,0,--,--,0,0,--,0,--,--,0,--,--,0,0,--,
应付职工薪酬(万元),67927,70270,62900,66734,60654,34174,15683,11177,9859,13145,12914,7625,6817,5577,309,173,
应交税费(万元),44030,46291,33541,61006,70526,43417,-64017,-23742,-29365,51633,20545,29602,11022,3476,-119,847,
应付利息(万元),112,7468,9558,9108,5550,20599,17722,17353,3141,965,1105,1745,--,0,79,--,
应付股利(万元),6600,7680,7639,5000,0,0,--,0,--,--,0,--,--,0,0,29,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
其他应付款(万元),149205,115570,72850,60344,38533,40151,25627,18871,20454,32017,10818,10366,432,205,87,50,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
预计流动负债(万元),160849,156955,177329,159911,129021,83253,62704,67121,59256,44179,0,--,0,0,0,--,
应付分保账款(万元),--,0,--,--,0,0,--,0,--,--,0,--,--,0,0,--,
保险合同准备金(万元),--,0,--,--,0,0,--,0,--,--,0,--,--,0,0,--,
代理买卖证券款(万元),--,0,--,--,0,0,--,0,--,--,0,--,--,0,0,--,
代理承销证券款(万元),--,0,--,--,0,0,--,0,--,--,0,--,--,0,0,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
应付短期债券(万元),--,--,--,--,0,299842,--,--,--,--,0,--,--,0,0,--,
一年内到期的非流动负债(万元),373125,143261,399219,89043,43257,31264,20982,10427,16180,45416,54620,--,--,0,800,400,
其他流动负债(万元),4671,1695,--,--,0,0,--,0,--,--,0,--,--,0,0,--,
流动负债合计(万元),4956890,3160059,2960032,2466298,2095889,2231976,1153780,1181343,1523036,1212016,688226,558389,229057,50685,22824,12940,
长期借款(万元),1504635,1800054,1507604,1186655,838857,602275,440515,273645,257474,146531,202212,128167,15300,6000,0,800,
应付债券(万元),28823,55982,80977,355249,237205,0,298894,297946,--,--,0,--,0,0,0,--,
长期应付款(万元),155716,148832,92313,86430,91338,66502,40750,24466,--,1451,2398,--,0,0,0,--,
专项应付款(万元),--,--,--,--,--,0,--,0,--,--,0,--,0,0,0,--,
预计非流动负债(万元),218641,198289,209689,236677,220270,126558,97089,68394,67712,57437,19579,--,--,0,0,--,
长期递延收益(万元),23645,32351,35427,32442,28811,25032,23452,16117,--,--,0,--,--,--,0,--,
递延所得税负债(万元),94774,80684,45242,10087,5809,2690,3156,3880,4441,6897,9094,922,0,0,0,--,
其他非流动负债(万元),26417,0,--,--,--,0,--,--,15250,18736,14059,9839,7509,3217,3296,1960,
非流动负债合计(万元),2126394,2328834,1971252,1907539,1422291,823056,903891,684447,344878,231052,247342,138928,22809,9217,3296,2760,
负债合计(万元),7083283,5488893,4931284,4373837,3518180,3055032,2057671,1865790,1867913,1443068,935569,697317,251866,59902,26120,15700,
实收资本(或股本)(万元),422507,355620,355620,273554,273554,269459,269459,269459,269459,269459,140000,100000,50000,10000,10000,7000,
资本公积(万元),1208439,816772,817518,818530,819480,794211,827751,798829,799060,797700,167012,166955,171955,15069,13621,1045,
减:库存股(万元),--,0,--,--,0,0,--,0,--,--,0,--,--,0,0,--,
专项储备(万元),--,0,--,--,0,0,--,0,--,--,0,--,--,--,0,--,
盈余公积(万元),143851,129887,119732,109443,81618,65235,58617,53287,49539,48118,26742,15730,8638,5992,2810,1073,
一般风险准备(万元),--,0,--,--,0,0,--,0,--,--,0,--,--,0,0,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
未分配利润(万元),1128350,1048758,809200,657900,521733,360949,206156,183542,185457,217823,187098,91911,57550,28930,9600,3607,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,
外币报表折算差额(万元),--,--,--,--,--,--,-25230,-14851,-16109,-4201,-746,-1565,182,0,0,--,
归属于母公司股东权益合计(万元),3067512,2496122,2268669,1997615,1676145,1476779,1336753,1290265,1287406,1328899,520106,373030,288325,59992,36031,12725,
少数股东权益(万元),154913,151391,78831,72264,62916,45922,42541,38297,39445,34191,32620,36174,6566,486,490,--,
所有者权益(或股东权益)合计(万元),3222425,2647512,2347500,2069879,1739060,1522701,1379294,1328562,1326851,1363090,552726,409204,294891,60477,36521,12725,
负债和所有者权益(或股东权益)总计(万元),10305708,8136405,7278784,6443716,5257240,4577733,3436965,3194352,3194764,2806158,1488295,1106521,546757,120379,62641,28424,		
