报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
现金及现金等价物净增加额(万元),-341673,534471,-30832,-69863,18604,-286757,326816,14532,102440,193654,-374881,170854,-80246,342195,
加:期初现金及现金等价物余额(万元),1138098,603627,450068,519932,501328,788084,461269,446737,344298,150644,525524,344636,445128,102934,
期末现金及现金等价物余额(万元),796425,1138098,419237,450068,519932,501328,788084,461269,446737,344298,150644,515490,364882,445128,
净利润(万元),297727,279009,244946,200848,328335,192607,574706,617791,298936,373972,246710,61641,440860,375011,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
资产减值准备(万元),165793,64295,52381,-2712,293300,323675,126381,-45,-26,-4182,0,2112,--,0,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),1372068,1354128,1118516,1191457,1127895,1137900,992026,877342,856334,734570,750431,615873,494836,410927,
无形资产摊销(万元),13539,12657,10099,12631,12409,12655,14340,6649,5916,5614,1713,2356,2951,1529,
长期待摊费用摊销(万元),18537,7259,5551,5219,17726,12780,6083,3415,3198,2808,549,53,--,0,
待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
处置固定资产、无形资产和其他长期资产的损失(万元),-15459,-23,-487,-505,-2027,-435,-4350,-2413,-1263,-5887,-3282,-3794,6065,127,
固定资产报废损失(万元),9115,13749,--,310,2885,3618,8660,932,0,3,0,--,--,0,
公允价值变动损失(万元),5407,-24215,--,--,--,--,--,--,--,--,0,855,3602,-2365,
递延收益增加(减：减少)(万元),--,--,--,--,--,-10173,-6201,-4509,-3376,-4824,-4013,--,-850,-50,
预计负债(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
财务费用(万元),732249,750224,589187,662460,778344,851730,818451,848001,710200,532325,407513,360729,204115,136558,
投资损失(万元),-287805,-152827,-134824,306356,-120245,-96748,-114424,-251101,-102579,-68661,-44782,-132757,-16045,-3755,
递延所得税资产减少(万元),1421,3438,-23280,-266455,23395,30777,508,-21817,-48094,-20075,278,-55653,-5699,-2367,
递延所得税负债增加(万元),-426,2865,-1622,-2415,-2545,-3250,-2609,-4307,-5875,-4005,-8374,2437,-2234,-1402,
存货的减少(万元),57743,-12803,-44601,-31228,-53693,-7747,-35873,87868,-208198,-100444,32807,-113869,-18903,-14617,
经营性应收项目的减少(万元),-140595,-165731,-157995,-55,258043,66716,-28490,14549,-251172,-135306,-330052,23003,-121219,-208197,
经营性应付项目的增加(万元),-142589,-200618,156340,-27843,-14563,138139,649100,-4571,43151,448053,124990,-45061,70528,53693,
已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
其他(万元),--,--,--,-2768,-144302,-27522,8463,995,-3683,-3003,0,-1492,--,0,
经营活动产生现金流量净额(万元),2166976,1931409,1814209,2045298,2504957,2624721,3006771,2168777,1293471,1750959,1174485,716433,1058006,745092,
债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
融资租入固定资产(万元),1850,14482,--,--,65000,240277,191297,--,122220,38901,0,--,--,0,
现金的期末余额(万元),796425,1138098,419237,450068,519932,501328,788084,461269,446737,344298,150644,515490,364882,445128,
现金的期初余额(万元),1138098,603627,450068,519932,501328,788084,461269,446737,344298,150644,525524,344636,445128,102934,
现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,
现金及现金等价物的净增加额(万元),-341673,534471,-30832,-69863,18604,-286757,326816,14532,102440,193654,-374881,170854,-80246,342195,

