报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
预提费用(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
一年内到期的非流动负债(万元),27322,278771,131624,--,--,--,--,--,--,0,0,0,0,
其他流动负债(万元),99938,--,1,--,--,--,--,--,--,0,0,0,0,
流动负债合计(万元),2636936,2154460,1838696,17077,19239,41968,30098,27760,8815,15892,13550,10219,8180,
长期借款(万元),99829,234524,476101,664,5364,664,664,664,664,5464,664,664,664,
应付债券(万元),640504,52941,--,--,--,--,--,--,--,0,0,0,0,
长期应付款(万元),--,2056,2700,--,--,--,--,--,--,0,0,0,0,
专项应付款(万元),--,--,--,--,--,--,--,--,--,0,0,10,10,
预计非流动负债(万元),1154,1067,1105,--,--,--,--,--,--,0,0,--,--,
长期递延收益(万元),15294,13365,11167,--,--,--,--,--,--,0,--,--,--,
递延所得税负债(万元),53709,17093,4527,--,--,--,--,--,--,0,0,0,0,
其他非流动负债(万元),--,--,--,--,--,--,1860,3100,--,0,0,0,0,
非流动负债合计(万元),833127,338293,519126,664,5364,664,2524,3764,664,5464,664,674,674,
负债合计(万元),3470063,2492753,2357822,17741,24603,42632,32622,31524,9479,21356,14214,10893,8854,
实收资本(或股本)(万元),441877,441102,418368,11675,7783,7783,7783,7783,7783,5833,5833,5833,1000,
资本公积(万元),1606962,1587295,823670,54108,58000,58000,58000,58000,58000,1310,1310,1310,240,
减:库存股(万元),20093,--,--,--,--,--,--,--,--,0,0,0,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
盈余公积(万元),60113,58650,27211,2955,2698,2291,1951,1625,1187,948,541,137,174,
一般风险准备(万元),18508,9576,--,--,--,--,--,--,--,0,0,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,
未分配利润(万元),1496015,1149477,755260,2063,3309,4417,3453,4449,4636,7558,4964,1210,1379,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
归属于母公司股东权益合计(万元),3656101,3268083,2051177,70800,71790,72490,71186,71856,71605,15649,12648,8490,2793,
少数股东权益(万元),35293,5181,4490,--,--,--,--,--,--,0,0,0,0,
所有者权益(或股东权益)合计(万元),3691394,3273263,2055666,70800,71790,72490,71186,71856,71605,15649,12648,8490,2793,
负债和所有者权益(或股东权益)总计(万元),7161457,5766016,4413489,88541,96392,115122,103809,103380,81084,37005,26862,19383,11647,		
  
