报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
可供出售金融资产(万元),48905,51,50,15540,5914,3000,--,--,--,0,3241,--,7908,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
长期应收款(万元),4144,12233,--,--,--,--,--,--,--,0,--,--,0,
长期股权投资(万元),31123,21964,--,285,407,359,345,357,460,413,453,868,540,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
投资性房地产(万元),43595,658,--,3297,3577,400,553,504,534,1058,531,566,601,
固定资产原值(万元),645763,371961,261733,56581,56642,56251,55349,57129,57496,56631,57877,56502,52735,
累计折旧(万元),113684,77147,53153,42761,41498,42317,39823,38038,35366,31859,29061,24928,21358,
固定资产净值(万元),532079,294814,208580,13820,15145,13934,15526,19091,22130,24772,28815,31574,31377,
固定资产减值准备(万元),765,830,765,--,--,--,--,--,--,0,0,0,0,
固定资产(万元),531314,293984,207815,13820,15145,13934,15526,19091,22130,24772,28815,31574,31377,
在建工程(万元),58655,71527,65265,--,--,19,6,--,--,17,2,137,910,
工程物资(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,1,0,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
无形资产(万元),235055,185488,156514,212,234,324,351,388,395,327,354,199,170,
开发支出(万元),94,--,--,--,--,--,--,--,--,0,--,--,0,
商誉(万元),73212,69149,--,158,--,--,--,--,--,0,--,--,0,
长期待摊费用(万元),41975,31674,20980,1536,1548,1369,1014,713,251,3,21,23,30,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
递延所得税资产(万元),3167,1243,622,791,313,359,547,583,596,343,1694,296,92,
其他非流动资产(万元),45202,35118,8286,1108,2468,--,--,--,--,0,--,--,0,
非流动资产合计(万元),1116442,723089,459533,36748,29605,19764,18341,21637,24368,26932,35112,33663,41627,
资产总计(万元),1996853,1414316,1116786,152270,148916,135492,136595,129133,119045,109596,92084,80608,75799,
短期借款(万元),16564,65689,--,2000,837,--,--,--,--,3809,--,--,0,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
交易性金融负债(万元),--,--,--,24,139,--,--,--,--,0,0,--,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应付票据(万元),--,--,--,--,--,--,--,--,--,0,924,--,0,
应付账款(万元),237294,205326,153747,6223,8422,3215,4340,4259,5108,7309,4535,4633,5956,
预收账款(万元),114410,81403,60875,1462,1496,1577,1630,1097,1120,1628,1644,496,1031,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应付职工薪酬(万元),21770,24550,16468,6993,6633,3668,3778,3458,3962,5103,5165,3340,2644,
应交税费(万元),38357,18160,25592,1115,722,452,1101,1934,2049,1269,1516,957,587,
应付利息(万元),222,--,--,--,5,--,--,--,--,0,--,--,0,
应付股利(万元),82,0,--,3115,2802,1867,2472,131,131,0,263,856,248,
其他应交款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
其他应付款(万元),52781,51181,35373,239,518,1125,1438,2627,3205,2202,920,470,441,
预提费用(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
一年内到期的非流动负债(万元),15,104,--,--,--,--,--,--,--,0,--,--,0,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
流动负债合计(万元),481495,446413,292054,21171,21573,11905,14759,13506,15574,21320,14967,10752,10907,
长期借款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应付债券(万元),298242,--,--,--,--,--,--,--,--,0,--,--,0,
长期应付款(万元),2153,3749,1269,--,--,--,--,--,--,0,--,--,0,
专项应付款(万元),--,26,26,--,--,--,--,--,--,0,--,--,0,
预计非流动负债(万元),35,33,1026,--,--,--,--,--,--,0,--,--,0,
长期递延收益(万元),7865,1439,969,--,--,--,--,--,--,0,--,--,--,
递延所得税负债(万元),975,1308,--,109,162,11,9,0,4,1,105,38,1873,
其他非流动负债(万元),26475,24845,907,--,--,--,--,--,--,0,--,--,0,
非流动负债合计(万元),335966,31630,4197,109,162,11,9,0,4,1,105,38,1873,
负债合计(万元),817462,478043,296251,21280,21735,11916,14768,13506,15578,21321,15072,10790,12780,
实收资本(或股本)(万元),38009,37692,37267,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,
资本公积(万元),599653,594220,590413,18181,18181,18508,18508,18508,18382,18382,18790,18382,22016,
减:库存股(万元),6388,4014,--,--,--,--,--,--,--,0,--,--,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
盈余公积(万元),13573,13573,13573,9415,9415,8736,7966,7035,6358,5579,5183,4927,4527,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
未分配利润(万元),440667,281349,179433,62883,60018,58349,56179,51389,42971,31581,22520,18418,10153,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
外币报表折算差额(万元),--,--,--,--,--,-12,--,--,--,0,--,--,0,
归属于母公司股东权益合计(万元),1149946,921916,820528,106996,104103,102081,99153,93432,84210,72042,62993,58227,53197,
少数股东权益(万元),29446,14357,7,23994,23078,21495,22674,22195,19257,16234,14019,11591,9823,
所有者权益(或股东权益)合计(万元),1179392,936274,820535,130990,127181,123575,121827,115627,103467,88275,77012,69818,63020,
负债和所有者权益(或股东权益)总计(万元),1996853,1414316,1116786,152270,148916,135492,136595,129133,119045,109596,92084,80608,75799,		
  
