报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
长期股权投资(万元),111725,79253,73366,--,4934,--,1449,1229,3534,2971,1743,1743,3,3,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
投资性房地产(万元),--,--,--,--,--,20944,12446,344,383,21,0,0,0,0,
固定资产原值(万元),302558,306184,159311,151991,151896,17125,12452,33060,32855,30222,20535,20626,17609,14811,
累计折旧(万元),143618,126791,123214,124025,120458,6235,6469,12069,10441,9196,7494,5686,4162,3437,
固定资产净值(万元),158940,179393,36096,27967,31438,10890,5984,20991,22414,21026,13041,14940,13448,11374,
固定资产减值准备(万元),865,865,972,1333,1370,1525,1560,--,--,--,0,0,0,0,
固定资产(万元),158074,178528,35124,26633,30068,9365,4423,20991,22414,21026,13041,14940,13448,11374,
在建工程(万元),--,--,--,--,--,8622,18975,14468,7492,8880,6340,6219,8303,7526,
工程物资(万元),687,1427,685,286,934,--,--,--,--,--,0,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
无形资产(万元),4471,4696,3355,--,--,2110,3171,1503,1541,1565,1649,1737,728,2509,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
商誉(万元),16887,14911,14908,15593,11507,--,--,--,--,--,0,0,0,0,
长期待摊费用(万元),2519,1268,374,508,577,--,--,--,--,3,13,30,52,89,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
递延所得税资产(万元),91760,66249,54151,53135,44067,1412,1407,2806,3037,1458,1970,1128,778,260,
其他非流动资产(万元),62325,62163,50152,--,--,2248,2083,--,--,--,0,0,0,0,
非流动资产合计(万元),717645,698731,439028,225740,137157,46150,43954,41341,38401,35924,24755,25797,23312,24922,
资产总计(万元),1868708,1902151,1555460,1212906,1250167,59077,68377,89958,91978,104294,108871,93991,145447,133244,
短期借款(万元),5061,4746,--,65208,--,2000,9800,8500,4930,10115,20449,6643,39737,14884,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,0,30,84,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付票据(万元),--,--,--,--,4780,4200,5060,6094,5763,6935,6591,1076,5743,6909,
应付账款(万元),57089,41936,23472,16912,18705,1411,2127,10584,14219,16247,13904,10744,20851,35301,
预收账款(万元),51387,37546,41398,45678,35007,225,274,1330,1261,2767,1662,2443,3134,4585,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付职工薪酬(万元),23327,26034,30652,31779,35107,487,454,1085,919,805,1101,358,693,1078,
应交税费(万元),63746,85639,76729,73560,70128,156,70,-748,-861,-1042,-2028,-730,876,582,
应付利息(万元),0,65,96,185,--,4,22,11,93,165,111,0,0,0,
应付股利(万元),592,592,592,608,608,--,--,--,--,--,0,0,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他应付款(万元),159007,156170,218590,156514,607895,1054,1689,1350,4535,1925,1983,1467,1636,2643,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
一年内到期的非流动负债(万元),6875,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
流动负债合计(万元),367085,352727,391528,390445,772231,9537,19496,28205,30924,37932,43801,22066,73652,65982,
长期借款(万元),80231,89222,84945,--,--,--,--,--,--,--,0,0,0,0,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
预计非流动负债(万元),--,--,--,--,--,--,0,66,47,70,81,68,37,23,
长期递延收益(万元),90,157,300,483,90,--,--,--,--,--,0,0,15,34,
递延所得税负债(万元),20248,20077,22861,6619,4240,--,--,--,--,--,38,1,21,84,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
非流动负债合计(万元),100988,109626,108144,7103,4330,0,0,66,47,70,120,69,73,141,
负债合计(万元),468073,462353,499672,397547,776561,9537,19496,28271,30971,38002,43921,22135,73724,66123,
实收资本(或股本)(万元),33366,33366,33366,33366,31437,30234,30234,30234,30234,30234,30234,30234,30234,30234,
资本公积(万元),38805,18621,18621,18294,20223,6609,6609,6609,6608,6617,6617,6609,6609,7085,
减:库存股(万元),153015,70030,--,--,--,--,--,--,--,--,0,0,0,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
盈余公积(万元),26923,19209,15674,14564,7619,4856,4856,4865,4865,4865,4865,4865,4820,4308,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
未分配利润(万元),1455283,1424040,968564,728566,400593,7842,7182,19550,18730,24207,23237,30058,29656,24936,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,-0,--,--,-358,-356,-203,-41,
归属于母公司股东权益合计(万元),1377841,1420114,1037257,799093,459873,49540,48881,61257,60437,65922,64594,71410,71116,66521,
少数股东权益(万元),22794,19684,18531,16266,13733,--,--,430,571,370,356,446,607,600,
所有者权益(或股东权益)合计(万元),1400635,1439798,1055788,815359,473606,49540,48881,61687,61008,66292,64950,71856,71723,67121,
负债和所有者权益(或股东权益)总计(万元),1868708,1902151,1555460,1212906,1250167,59077,68377,89958,91978,104294,108871,93991,145447,133244,		
