报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,0,0,5197,1277,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
应付票据(万元),190384,124832,114009,218845,209594,230939,197395,102137,168527,98013,69770,147065,138053,23327,
应付账款(万元),1767167,2038708,1862348,1580017,2226186,2230208,2206104,1915617,1919348,1548036,1207659,1068845,798178,675148,
预收账款(万元),--,--,17406,18241,30279,31401,50048,63825,56801,62252,14628,10436,8728,0,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
应付职工薪酬(万元),17485,16633,3055,7177,11792,16680,8972,7528,6435,5144,3283,2751,9268,5059,
应交税费(万元),151834,139200,91069,88782,-360152,-301056,-377410,-265986,-265538,-85712,-161025,38166,94292,56939,
应付利息(万元),46357,84314,67272,55647,60998,104923,105063,85102,58036,39009,35639,42188,24713,13849,
应付股利(万元),149736,172561,30155,63346,31671,10060,14727,11131,15488,234,3691,15,4076,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
其他应付款(万元),348437,356780,186743,159721,221478,248599,184281,213516,184855,140553,73024,43801,90232,41375,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
一年内到期的非流动负债(万元),1764624,2595061,1452157,1025475,1666786,2129082,1729160,1360927,1562492,1481018,736701,682159,429607,294280,
其他流动负债(万元),11632,1105661,--,1418290,1514374,1100000,570000,440000,140000,--,0,363753,300960,100000,
流动负债合计(万元),8035384,9215787,6268358,5736558,7091581,7176149,6512263,6157777,5998814,5226029,3940271,5357588,4164156,2141303,
长期借款(万元),9949089,10564854,8841313,9016612,13006121,13769164,13805425,12944562,11765436,10958538,9950655,6813042,4427288,4027358,
应付债券(万元),897380,896631,1544438,1542676,1541002,1539416,1441778,1440503,893728,594902,593854,0,--,111181,
长期应付款(万元),777752,761309,706009,933091,1948459,1137984,899833,720223,582687,372278,370117,417010,10378,0,
专项应付款(万元),1265,1057,15,15,55,55,55,55,40,40,0,0,--,0,
预计非流动负债(万元),3032,4657,--,--,37214,4219,4088,4164,4168,4160,3601,0,--,0,
长期递延收益(万元),228016,256438,161387,178366,319426,243653,--,--,--,--,0,--,--,0,
递延所得税负债(万元),69728,71060,52389,55549,57963,61722,59420,67372,55662,41438,28660,37837,110304,41819,
其他非流动负债(万元),--,--,--,--,--,--,179666,138273,50407,46099,47579,47521,38706,27326,
非流动负债合计(万元),12001371,12558198,11305552,11726307,16910241,16756213,16390264,15315151,13352128,12017455,10994465,7315410,4586674,4207683,
负债合计(万元),20036755,21773985,17573910,17462865,24001822,23932362,22902527,21472928,19350941,17243484,14934736,12672998,8750830,6348987,
实收资本(或股本)(万元),1850671,1850671,1331004,1331004,1331004,1331004,1331004,1331004,1331004,1231004,1178004,1178004,1173408,566285,
资本公积(万元),694634,888020,1058597,1058307,1085467,1077003,1060350,1020861,1008543,405612,158401,166540,484901,727255,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
专项储备(万元),32863,24105,25476,27346,39556,32974,47523,55207,51293,49186,38359,--,--,0,
盈余公积(万元),1598608,1386177,1183228,2049777,1828410,1696860,1503790,1414314,1280617,1114565,1094563,974613,936430,803349,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
未分配利润(万元),42610,390662,536297,-501433,208538,232215,445491,322224,201618,269830,136249,270136,344702,274530,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,0,
外币报表折算差额(万元),--,--,--,--,--,--,3933,5415,5712,3530,1769,1704,-284,42,
归属于母公司股东权益合计(万元),6481513,5012666,4147851,3971845,4502316,4380345,4392092,4149024,3878786,3073726,2607345,2590996,2939158,2371461,
少数股东权益(万元),1693765,2004988,1845618,1887532,1832697,1930430,2037712,1499473,1177280,758378,664350,464082,461576,327746,
所有者权益(或股东权益)合计(万元),8175278,7017654,5993469,5859377,6335013,6310775,6429803,5648497,5056066,3832103,3271694,3055078,3400734,2699207,
负债和所有者权益(或股东权益)总计(万元),28212033,28791639,23567379,23322243,30336835,30243137,29332330,27121424,24407008,21075587,18206431,15728076,12151564,9048193,		
